01-14 19:28:51.241 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.5 MB == MEM_MAX:910.5 MB), desiredKV=159.5 MB OOM!
01-14 19:28:51.241 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.5 MB == MEM_MAX:910.5 MB), desiredKV=159.5 MB OOM!
01-14 19:28:51.241 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.5 MB == MEM_MAX:910.5 MB), desiredKV=159.5 MB OOM!
01-14 19:28:53.383 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.2 MB + FREE:87.6 MB == MEM_MAX:910.5 MB), desiredKV=159.8 MB OOM!
01-14 19:28:52.672 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.2 MB + FREE:87.6 MB == MEM_MAX:910.5 MB), desiredKV=121.6 MB OOM!
01-14 19:28:54.792 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.2 MB + FREE:87.6 MB == MEM_MAX:910.5 MB), desiredKV=159.8 MB OOM!
01-14 19:28:54.792 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.1 MB + FREE:87.7 MB == MEM_MAX:910.5 MB), desiredKV=121.8 MB OOM!
01-14 19:28:52.672 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.2 MB + FREE:87.6 MB == MEM_MAX:910.5 MB), desiredKV=121.6 MB OOM!
01-14 19:28:56.204 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.1 MB OOM!
01-14 19:28:54.087 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.2 MB + FREE:87.6 MB == MEM_MAX:910.5 MB), desiredKV=159.8 MB OOM!
01-14 19:28:56.204 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.1 MB OOM!
01-14 19:28:56.204 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.1 MB OOM!
01-14 19:28:56.904 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.1 MB OOM!
01-14 19:28:56.904 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=122.0 MB OOM!
01-14 19:28:57.608 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.1 MB OOM!
01-14 19:28:57.608 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=121.9 MB OOM!
01-14 19:28:58.313 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.1 MB OOM!
01-14 19:29:01.140 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.2 MB OOM!
01-14 19:29:01.141 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.2 MB OOM!
01-14 19:29:01.141 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.2 MB OOM!
01-14 19:29:01.141 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.2 MB OOM!
01-14 19:29:01.141 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.2 MB OOM!
01-14 19:29:02.560 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=160.2 MB OOM!
01-14 19:29:02.560 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=122.0 MB OOM!
01-14 19:29:02.560 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=122.0 MB OOM!
01-14 19:29:03.979 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:243.8 MB + FREE:88.0 MB == MEM_MAX:910.5 MB), desiredKV=122.3 MB OOM!
01-14 19:29:03.979 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.0 MB + FREE:87.8 MB == MEM_MAX:910.5 MB), desiredKV=122.3 MB OOM!
01-14 19:29:03.979 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.8 MB + FREE:88.0 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
01-14 19:29:06.788 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.8 MB + FREE:88.0 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
01-14 19:29:06.788 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:243.8 MB + FREE:88.0 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
01-14 19:29:06.788 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.8 MB + FREE:88.0 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
01-14 19:29:06.788 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.8 MB + FREE:88.0 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
01-14 19:29:06.788 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:243.8 MB + FREE:87.9 MB == MEM_MAX:910.5 MB), desiredKV=122.3 MB OOM!
01-14 19:29:06.788 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.8 MB + FREE:88.0 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
01-14 19:29:08.911 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.8 MB + FREE:87.9 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
01-14 19:29:08.910 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.8 MB + FREE:87.9 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
